adjudication_case_id,complex_r10,selection_stratum,selection_rank,reused_existing_qa,complexes_r05,member_node_count_r05_total,member_node_count_r10,adjudication_label,reviewer_note,allowed_labels
s2b11_011,s3ic_284264dadb1a3f1eb19a6bad,signalized,016c00bd16a7440f246b6d4fe4fa2fe99f5f1feb594294194449b85eff3cc8d6,FALSE,"[""s3ic_433f5d389e6ae66173144e3c"", ""s3ic_8a8df53d400b8ab39177a04f"", ""s3ic_90a638c3a82c0b7b691aa23a""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_012,s3ic_9a75b22b7ba3c77039611686,signalized,02261acb4ca082edddba8ea197ff02024e4953cdae92f48f5c650c6ea831a6da,FALSE,"[""s3ic_7614d9a35389487a62b7d801"", ""s3ic_b581613c2df85937e94bb574"", ""s3ic_fe0887ba9b9d44f44fa025fe""]",12,12,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_013,s3ic_d8a495ec57e4ca2e162159d0,signalized,031fdf29cd26fe6e68738192e5ed31bb853f923ca489742f70dfab2ffc03bd6b,FALSE,"[""s3ic_0af4b5b71e5f5c932a0c06d6"", ""s3ic_daf1fc4d3d14ea491a9b77cf""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_014,s3ic_5c53815fa63541d2c312345a,signalized,0361c4ac2c90a3e00c40fa98880727d065d95bd890687d8ee548cf1b09fb7707,FALSE,"[""s3ic_a37881d0d37b352878f2b691"", ""s3ic_f15b0bc5c0f98bcb25296826""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_015,s3ic_af649f479aa5327466663688,signalized,039e3ffc6cbe2fba09371977a0cf9e3912fcdb79e0718bf72684e48459f065a9,FALSE,"[""s3ic_06250e6231bca66b5daee67a"", ""s3ic_1a90a137419ddf1e696d42a9"", ""s3ic_2d7f875b770a62ec993bfaff"", ""s3ic_4d9a7586914a6dfb0e23ec16"", ""s3ic_594ca5fb5c4851f378476d22""]",7,7,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_016,s3ic_25715f60323440cfd1f39287,signalized,03bc74a31115d8852977800747d39739a0222001d6793fb3db7952edbd1003dd,FALSE,"[""s3ic_22e22ce95900b8f0837d4890"", ""s3ic_6cef14b79eb43ab2124cd6ad"", ""s3ic_fbb5938f3ee9b37ece552ea9""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_017,s3ic_8db61204898a85a75662af17,signalized,044d23e5cab622a4afcf37d7d2442fdd78b097bea1c49f7fdc97e44258335359,FALSE,"[""s3ic_92496d7164611e1c2361ec5f"", ""s3ic_a73224baa3a6fa2b23b2c0fe""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_018,s3ic_9a3d8ab213b8b22db126b4c5,signalized,04c3d5ab6aa4412a9ddc989e4b51ac9d586407596db202f4bc60d25237989a92,FALSE,"[""s3ic_66b5170c8d860ea2a1deef1b"", ""s3ic_d107592f55fd1f454f3bfa50""]",2,2,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_019,s3ic_233dfce2b1da7476aa3ad763,signalized,04e3a4fdce17c1468a014d7e58fb9ab1e81c555b5ec0bd5925e322a5592354c6,FALSE,"[""s3ic_0db900c63d03f0b383862011"", ""s3ic_3d30d400a6e6369c4df1c007"", ""s3ic_6771e78dbd277f68786f8c02"", ""s3ic_d6fec0d1cb549ffcd14c3191"", ""s3ic_eac0141a951a9ee3dfd68281""]",8,8,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_020,s3ic_ae998c8a2afddba421e0a718,signalized,057eb384ed0aa56a3ad298ab4ba7d4c601db1b371f7c30b371001aee08abcf89,FALSE,"[""s3ic_95f320876e1c1a30888d367f"", ""s3ic_9a5df377ae4bfbf81962aeca"", ""s3ic_e14f6e9f9faea090e7670717"", ""s3ic_fc6b843fb8f55bbfb59ff091""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_021,s3ic_4308e845b19f0cc9e01e439f,multi_node_divided_road,242498db62f4455034df1f16a0abae320bfc132c64265202a0fff6b0849b2e69,TRUE,"[""s3ic_3aa19a066045556f2e910a10"", ""s3ic_80e1811d4da2641f61dac32d"", ""s3ic_ef87b63ad58cc2732b29d691""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_022,s3ic_71dc99bbed050aec8bb145da,multi_node_divided_road,366f10091e5416c9c6674d4b97b6bbdb8c6745cf97ea77d785f305f95a5110de,TRUE,"[""s3ic_4a3fb53a88bf6333318200d9"", ""s3ic_5904aae9f30eb4688344b3f3"", ""s3ic_616409bda3e21d7b1f18ccad"", ""s3ic_8d57141f0295258d9ee56426""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_023,s3ic_5d41ae3837b41a3159b8afa1,multi_node_divided_road,8642108150b9bdc1ce468bca559953aa6a04ce139dbda5c4984e648de38294e1,TRUE,"[""s3ic_7ca6b20e81f11dd07797d16b"", ""s3ic_a0b8a5c92a6099d156833c86""]",3,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_024,s3ic_e8a73eecca756e4f91494d7e,multi_node_divided_road,aa2d20c96ae9974e27fc5032f95d6c7c06ea8c495cd1b1fcfb71074caea16bff,TRUE,"[""s3ic_329a70d8994a41eaf097de0e"", ""s3ic_e88d7430e29949a8bda5e154"", ""s3ic_f4a23ea43c2afb76544a5b42""]",3,5,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_025,s3ic_35dae0740558d9eb8581729c,multi_node_divided_road,c06c35d6347789ef02eac8cd81c3127730d29e9699481dd67b0110ebeb80895b,TRUE,"[""s3ic_1a6e4e00ba7810a10137f509"", ""s3ic_24adf0ad7e5f445a5cecf24a"", ""s3ic_7e8ca181454b07df2390f63b"", ""s3ic_ac9107c0a079834a13d71a76"", ""s3ic_d0a44ce5a309d89e138b26aa""]",7,7,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_026,s3ic_3b84b67ab4eaa1e15c4f1cf7,multi_node_divided_road,f754a1b63814a07f4b8f0abbfc034f90dff3a3f636bb439fa8064e4e77f9907f,TRUE,"[""s3ic_26f7b6e76a89b4cfdde6b05b"", ""s3ic_791d6ce3e1d358125f2650c4"", ""s3ic_de1e4400725142d39e0596e9""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_027,s3ic_8a15a2ddc65419628c238173,multi_node_divided_road,000477a148ba1875c1be768798b49685f6648b5152b8575414ab3d50179b12a7,FALSE,"[""s3ic_0b6e786c6acf18bf842522e1"", ""s3ic_3702823c3251ba37c422dc9a"", ""s3ic_4918a01a0a95dbe0f9f04d5e"", ""s3ic_578719dd22b3b6a484e24676"", ""s3ic_bde8a415891a5cd9ffdc175d""]",5,5,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_028,s3ic_5515355de0bcf9063dab1272,multi_node_divided_road,00292897b7e060df6686427e79718660057f9f1a6b9cfb2fc66c792c756ca02f,FALSE,"[""s3ic_1f47a50aff5499f4154cf76e"", ""s3ic_3cd7efa0b9df154b898dc9df"", ""s3ic_ef1ba3b8435386cdec8b0719"", ""s3ic_fb4a192c60e4433b08450480""]",5,5,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_029,s3ic_e23441a6a47fef7a43e79814,multi_node_divided_road,004db4a44044256a8605e22306e26fc49cb5feb964cf4270622cb1002571571f,FALSE,"[""s3ic_004aef26ce203ab48c8b8722"", ""s3ic_c34787e909133162d1e54ab4""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_030,s3ic_ba169e249e7bb165fe6e3b0a,multi_node_divided_road,0065c45bf25fa8189bb8e1234f6ae285532c4449c6dcb5bfdc48f6bc5e453cfa,FALSE,"[""s3ic_6a9ce0f6623233bb2d3bcae0"", ""s3ic_b27c37d3ebb6cd8d4f2a4d97""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_031,s3ic_0262194ba88eacbd7462e185,multi_node_divided_road,00a5ccede4d27e1354df71f1e198478838b445111e70af14af5cb6f4ec6dfba1,FALSE,"[""s3ic_914bd1dd42c466fc746e6b20"", ""s3ic_cbdc321b7171a97450a8a92e""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_032,s3ic_134dc168be4651ed2d3a746d,multi_node_divided_road,00a6d465f11b71cd26d43dd6222f6ddd9fb52029ff75fda721ecd7a6e7331017,FALSE,"[""s3ic_398d318a7886357106d4ff5e"", ""s3ic_3ca49432a737a70d3c9f45ce"", ""s3ic_bd1a28b74d1f873d8ecbdef3""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_033,s3ic_3ceef3ccae77d47f30d936d7,multi_node_divided_road,00aadf2ab0b9aecccb44f0fe7a2ec3f0dc79ee766a3a34c12a71edf378823133,FALSE,"[""s3ic_4728887d824ef75b17085bf8"", ""s3ic_902afb563795765eb4f880c5"", ""s3ic_fbe7d8c189776df651a04311""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_034,s3ic_78b35ee0a9851dd02783212b,multi_node_divided_road,00cfc99e777df484ae1a6153525eba1f3483bdcb816f9aa979131fd80cd37179,FALSE,"[""s3ic_10067fc91a9e00d5f939f1bb"", ""s3ic_96e459ac3a58f212d71162f8""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_035,s3ic_16efe70c656d9f8eca8fd559,multi_node_divided_road,013fe1cb1c8237b080f589b854999f4577f02da2e79f3babbec40a1d55f3d3cc,FALSE,"[""s3ic_0ce54e91f0403d942b3eeb7e"", ""s3ic_3c99db484f4f52adecc14410"", ""s3ic_c0efaa956e802467d34fa6cf"", ""s3ic_c3144776fc88c6539a37b895""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_036,s3ic_31df154c514ca2297bd65faf,multi_node_divided_road,015d9576cab1b1d385ae20abcf565e8e79519272f72ec7cd3f61699425ee3f7a,FALSE,"[""s3ic_a8cf8698f28847060bc532a8"", ""s3ic_f42174f64ec45c63c02756ea""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_037,s3ic_ef81a2c7a9845c9e7e1f3ef4,multi_node_divided_road,018f501fa91d4f150c8d0e739a4dd4e8ca43cd61af9cbba064e45280449f464f,FALSE,"[""s3ic_7338bf39e1a8183228134723"", ""s3ic_a980017be2814ec41dc8ee70"", ""s3ic_f5e577cd64467c6ac8938754""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_038,s3ic_ed63b157e3639622a720ce27,multi_node_divided_road,01b5d265e26049497bde47ed16a42bd923eb929b884da44ea97a38a2062022f3,FALSE,"[""s3ic_01dc3d56e823de83add8ec86"", ""s3ic_5114842513b9bd81de90a91b"", ""s3ic_f4bbe1d1b16197d1cf96f4ab""]",3,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_039,s3ic_e902b064331190a24ffaa0fb,multi_node_divided_road,01b8e771827f901f36b6151a78560cd782fbfe6356a33cc245d2f53dedb71eca,FALSE,"[""s3ic_190e3925170a30f1f0cba3b7"", ""s3ic_490faa95e14b3e2fa5b1dac0"", ""s3ic_5ac70ea2f5b0da0e132946a0""]",3,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_040,s3ic_ba1e3d52b1bbb14a8e962044,multi_node_divided_road,01be20bfa2351328c12e448bab966cad897143eccce8544995d3e6154f12e2c6,FALSE,"[""s3ic_2fca73bef8dbb6662d47865c"", ""s3ic_871cb09f328a8d15bca63bb6"", ""s3ic_8ed1495590c991d859a6e1aa"", ""s3ic_b6457fe85b05b53e2e99fb98""]",4,4,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_041,s3ic_5caa78c0725ee346deda0277,high_degree,3d31fbd084f9b269cf30fafccb57be37e1749d555b658750dbf98fed2713ee87,TRUE,"[""s3ic_18846ef6bcf3e5bba980fb01"", ""s3ic_40db08834b47fb8ef8760bd6""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_042,s3ic_b649041f6f190c3b2421130f,high_degree,7793c0cc23a71cfccb64888a7019577656f1e6e3a7cc89f2a38d56da3870d4ee,TRUE,"[""s3ic_2e00f445da10b7f7db31e406"", ""s3ic_9f5cbd6134f873d7106eb81b""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_043,s3ic_d88406ccac0db87267510161,high_degree,7dc02d105466c6b2d0232ef9ef301c026bd4b10d6801d2d81cee0eb8c27a72fe,TRUE,"[""s3ic_199ac24e1db6fcb7b41a87b1"", ""s3ic_3a1d48ffa0e2428bb29ac094""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_044,s3ic_658dff2d18336e057eeffeb6,high_degree,a93e07c90dc964f0fb0e16dc7f312bc93ae0df2bd31438f74eec84dc3bb6867f,TRUE,"[""s3ic_30433c5a7dad522581c89d30"", ""s3ic_c8112de3c97f6e8e9f3d8a44""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_045,s3ic_e1bfaae94ce5da455f4c5dd9,high_degree,001faec01b47e8e192667bf228873111c5a3af14b0273fb4b19c06d4d438fd98,FALSE,"[""s3ic_35b75a2b14272a6a340e4143"", ""s3ic_e12204186a01b2666adee544""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_046,s3ic_062d6033d14314cee5f9f2f2,high_degree,0048230f739df1db4457cae4db6f6878e41e8e4ac1bd659ba45bb9adf5dd00d5,FALSE,"[""s3ic_150a540618bcfca1dbe4adcc"", ""s3ic_75af073abb97b965f3df7627""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_047,s3ic_607480f7c26370ecba48a41e,high_degree,00862f3c73e5b2d426c2325f89452bc548f96eeb95f60a70e9e7821316c42317,FALSE,"[""s3ic_7278ed69759a5ee7b041b141"", ""s3ic_e3dfe0336fc4dddc34342cdf""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_048,s3ic_e03b8acafd78263f86ec6bb8,high_degree,00931f53cd6d36c967db6ea9bef54157d92785654f5cdc1af51ade47ce777e99,FALSE,"[""s3ic_b0ef929db0a5ce34e0eff3e9"", ""s3ic_b1c1d128fdfb7562cd41eba7""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_049,s3ic_bd7152bc3a22d063f3babc02,high_degree,00bb5cd21be2ea9f29f901a4bb1fe90608f12303c089fcb447a98997b907e022,FALSE,"[""s3ic_0838755b41f1fb0e579beae3"", ""s3ic_0c88cbf3ba4d98b821a04a9f""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_050,s3ic_6afabc9d9b35f866ab94c31b,high_degree,00bbe2860ef08f8a7816876b016b74282d754e9552c6487777dd7ccfc4489a28,FALSE,"[""s3ic_efc09036ba9ef61bfbc9c495"", ""s3ic_f40e89db0c3f0d1b2d720141""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_051,s3ic_0bc3daf7800be725422c2d18,grade_separated,12f6f77eac65be90cb5803bbd6948f6acf48513297b5398d4441ac526f763fe7,TRUE,"[""s3ic_3e53d2b9f5f44af9b8486036"", ""s3ic_a49484c0e521c46202f5081b""]",2,6,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_052,s3ic_6e121894595e9b7616cdff91,grade_separated,77e4a3529ce75020f37d459dda6168427a32d942242b9b41d90e5ff9f325411d,TRUE,"[""s3ic_5eb8b929cd9954d8819a32ca"", ""s3ic_ddd57cc772157c54e885a66a""]",2,3,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_053,s3ic_99ba786472474b372ef4ec35,grade_separated,7e1648c37a0d55d3141aa2181a9ac88b88fcdcd6127bc345b69b09f6f723c9ef,TRUE,"[""s3ic_ac4496aab84211146e148c76"", ""s3ic_bd8ee58771f92ff797b05666""]",2,5,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_054,s3ic_add016bba60d9d38fcc0b58b,grade_separated,0edc6acb8e1ccda4d4fb07fc2f96cb599524c489e968ce28b6dd73e7fbb32727,FALSE,"[""s3ic_123258c06047d088192a098f"", ""s3ic_dcdd8fa7801601e7a92156ce"", ""s3ic_f21a7adb5a4b5177dfa930dc""]",5,5,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_055,s3ic_d5869d1f504d5b8035176df9,grade_separated,14d48899aa8900944d7565d60e5b2ef8f0c7ef26c09d7f52e75eeb98ebe3e669,FALSE,"[""s3ic_c917eed1760c0737c22ee055"", ""s3ic_e989c90c601d61cb9d000d4d""]",2,2,NEITHER,"""This is a massive interchange with tons of ramps and entrances, so a 10-meter range just isn't enough","[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_056,s3ic_1f85a1d3019f843dc919a383,grade_separated,1a2ae4965951e6aae86e666d4794a99ea5ab973d83d5db01bbb6edac0f8e8b84,FALSE,"[""s3ic_14e1fb64c64fe5fff548b39e"", ""s3ic_ad702181168cb08e8cc2a7cf""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_057,s3ic_7dd0874f4b737ff05c09af21,grade_separated,2371b60be5a16ba08ad90daa8073d221afddcee93f49e0182de02b9ad45e6c2b,FALSE,"[""s3ic_0b26bf1a1c8ae6e921cde63b"", ""s3ic_5300208d8aaa3bb9ab119e9a""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_058,s3ic_1284d24732d93064fd6b9d20,grade_separated,379f7328bfaa5356a307c6ab16dc68787368c05539450d5b2aad496b18ba48f1,FALSE,"[""s3ic_ac6759fd290812edd4b20a41"", ""s3ic_cd9562945738f282dcf8eb9b""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
