artifact_id,stage,path,description,created_by_commit,input_source,status,used_by,known_issue,replacement_artifact
legacy_stage0_logs,stage0,stage0/output/logs,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_manifests,stage0,stage0/output/manifests,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_matched_points,stage0,stage0/output/matched_points,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_matcher_comparison,stage0,stage0/output/matcher_comparison,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_matcher_comparison_fast,stage0,stage0/output/matcher_comparison_fast,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_order_base,stage0,stage0/output/order_base,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_order_od,stage0,stage0/output/order_od,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_order_od_audited,stage0,stage0/output/order_od_audited,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_poi,stage0,stage0/output/poi,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_quality_reports,stage0,stage0/output/quality_reports,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_reports,stage0,stage0/output/reports,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_route_parts,stage0,stage0/output/route_parts,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_stage0_link_traversals,stage0,stage0/output/stage0_link_traversals,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_stage0_order_link_poi_behavior,stage0,stage0/output/stage0_order_link_poi_behavior,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_stage0_order_link_poi_behavior_fast,stage0,stage0/output/stage0_order_link_poi_behavior_fast,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage0_stage0_turn_movements,stage0,stage0/output/stage0_turn_movements,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"direction topology, parallel-edge, interval allocation, and IIS influence-area re-audit required",canonical_stage0_v2_pending
legacy_stage1_prediction_split,stage1,stage1/output/prediction_split,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"v1 partition median, CDF empty-bin, PMIS weighting, and missing-mask semantics",canonical_stage1_v2_pending
legacy_stage2_actual_entry_oracle_causal_dataset,stage2,stage2/output/actual_entry_oracle_causal_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_actual_route_oracle_causal_dataset,stage2,stage2/output/actual_route_oracle_causal_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_actual_route_oracle_causal_dataset_15k,stage2,stage2/output/actual_route_oracle_causal_dataset_15k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_actual_route_oracle_causal_dataset_5k,stage2,stage2/output/actual_route_oracle_causal_dataset_5k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_actual_route_oracle_causal_dataset_full_20161023,stage2,stage2/output/actual_route_oracle_causal_dataset_full_20161023,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_baselines,stage2,stage2/output/baselines,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_causal_features,stage2,stage2/output/causal_features,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_causal_features_smoke,stage2,stage2/output/causal_features_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_controlled_scaling,stage2,stage2/output/controlled_scaling,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_baselines,stage2,stage2/output/deep_baselines,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_baselines_v2,stage2,stage2/output/deep_baselines_v2,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_eval_metrics,stage2,stage2/output/deep_eval_metrics,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_model_report.md,stage2,stage2/output/deep_model_report.md,legacy file,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_model_v2_report.md,stage2,stage2/output/deep_model_v2_report.md,legacy file,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_predictions,stage2,stage2/output/deep_predictions,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_predictions_30k,stage2,stage2/output/deep_predictions_30k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_predictions_v2,stage2,stage2/output/deep_predictions_v2,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3,stage2,stage2/output/deep_v3,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_100k,stage2,stage2/output/deep_v3_100k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_5k,stage2,stage2/output/deep_v3_5k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_full_day_20161023,stage2,stage2/output/deep_v3_full_day_20161023,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_scaling_300k,stage2,stage2/output/deep_v3_scaling_300k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_stage3_rolling_100k,stage2,stage2/output/deep_v3_stage3_rolling_100k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_100k,stage2,stage2/output/deep_v3_tensor_shards_100k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_5k,stage2,stage2/output/deep_v3_tensor_shards_5k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_smoke,stage2,stage2/output/deep_v3_tensor_shards_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_smoke_predictions,stage2,stage2/output/deep_v3_tensor_shards_smoke_predictions,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_smoke_train,stage2,stage2/output/deep_v3_tensor_shards_smoke_train,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_deep_v3_tensor_shards_stage3_rolling_100k,stage2,stage2/output/deep_v3_tensor_shards_stage3_rolling_100k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_coverage_audit,stage2,stage2/output/iis_coverage_audit,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_coverage_audit_15k,stage2,stage2/output/iis_coverage_audit_15k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_coverage_audit_15k_joined,stage2,stage2/output/iis_coverage_audit_15k_joined,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_coverage_audit_stage3_20161020_23,stage2,stage2/output/iis_coverage_audit_stage3_20161020_23,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_movement_audit,stage2,stage2/output/iis_movement_audit,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_movement_causal_dataset,stage2,stage2/output/iis_movement_causal_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_movement_causal_dataset_15k,stage2,stage2/output/iis_movement_causal_dataset_15k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_iis_movement_smoke,stage2,stage2/output/iis_movement_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_label_audit,stage2,stage2/output/label_audit,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_lagged_state_store,stage2,stage2/output/lagged_state_store,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_lagged_state_store_smoke,stage2,stage2/output/lagged_state_store_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_link_dataset,stage2,stage2/output/link_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_od_planned_routes_all_smoke,stage2,stage2/output/od_planned_routes_all_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_od_planned_routes_component_smoke,stage2,stage2/output/od_planned_routes_component_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_od_planned_routes_geometry_smoke,stage2,stage2/output/od_planned_routes_geometry_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_od_planned_routes_smoke,stage2,stage2/output/od_planned_routes_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_order_features,stage2,stage2/output/order_features,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_causal_dataset,stage2,stage2/output/planned_route_causal_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_causal_dataset_full_20161023,stage2,stage2/output/planned_route_causal_dataset_full_20161023,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_causal_smoke,stage2,stage2/output/planned_route_causal_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_dataset,stage2,stage2/output/planned_route_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_dataset_smoke,stage2,stage2/output/planned_route_dataset_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_planned_route_shortest_smoke,stage2,stage2/output/planned_route_shortest_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_predictability_ceiling,stage2,stage2/output/predictability_ceiling,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_predictability_ceiling_smoke,stage2,stage2/output/predictability_ceiling_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_fair_eval,stage2,stage2/output/rolling_fair_eval,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_fair_eval_actual_route_oracle,stage2,stage2/output/rolling_fair_eval_actual_route_oracle,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_fair_eval_iis,stage2,stage2/output/rolling_fair_eval_iis,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_oof_eval,stage2,stage2/output/rolling_oof_eval,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_profiles,stage2,stage2/output/rolling_profiles,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_rolling_profiles_smoke,stage2,stage2/output/rolling_profiles_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_dataset,stage2,stage2/output/route_conditioned_dataset,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_dataset_15k,stage2,stage2/output/route_conditioned_dataset_15k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_dataset_5k,stage2,stage2/output/route_conditioned_dataset_5k,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_dataset_full_20161023,stage2,stage2/output/route_conditioned_dataset_full_20161023,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_dataset_full_20161023_lagged,stage2,stage2/output/route_conditioned_dataset_full_20161023_lagged,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_route_conditioned_eval,stage2,stage2/output/route_conditioned_eval,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_routes,stage2,stage2/output/routes,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_storage_audit,stage2,stage2/output/storage_audit,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_strict_rolling_report,stage2,stage2/output/strict_rolling_report,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_strict_targets,stage2,stage2/output/strict_targets,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage2_strict_targets_smoke,stage2,stage2/output/strict_targets_smoke,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,dispatch-time versus estimated-link-entry availability requires re-audit,canonical_stage2_v2_pending
legacy_stage3_condition_vector_cases,stage3,stage3/output/condition_vector_cases,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_condition_vector_validity,stage3,stage3/output/condition_vector_validity,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_core_extended_ablation,stage3,stage3/output/core_extended_ablation,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_daily_readiness_20161017_23,stage3,stage3/output/daily_readiness_20161017_23,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_deepsets,stage3,stage3/output/deepsets,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_deepsets_iis15k_core,stage3,stage3/output/deepsets_iis15k_core,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_deepsets_iis15k_iis_dropout,stage3,stage3/output/deepsets_iis15k_iis_dropout,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_evaluation,stage3,stage3/output/evaluation,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
legacy_stage3_full_day_20161023,stage3,stage3/output/full_day_20161023,legacy directory,fb38799,legacy_unfrozen_lineage,exploratory,legacy_only,"legacy Stage2 inputs, calibration isolation, overall semantics, and full-day scale require rebuild",canonical_stage3_v2_pending
