run_id,workstream,base_scenario,variant,scientific_question,changed_component,unchanged_components,seed,status,runtime,output_path,notes,policy_version,train_reference_provenance
DET_Q50_M_P70_CONTROL_B,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q50_M_P70,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/q50_repeatability/DET_Q50_M_P70_CONTROL_B,Superseded before a valid full-day result by efficiency-first R0.5c.,,
DET_Q25_M_P70_CONTROL,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q25_M_P70,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/controls/DET_Q25_M_P70_CONTROL,Superseded before a valid full-day result by efficiency-first R0.5c.,,
DET_Q50_M_P70_CONTROL,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q50_M_P70,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/controls/DET_Q50_M_P70_CONTROL,Superseded before a valid full-day result by efficiency-first R0.5c.,,
DET_Q75_M_P70_CONTROL,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q75_M_P70,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/controls/DET_Q75_M_P70_CONTROL,Superseded before a valid full-day result by efficiency-first R0.5c.,,
DET_BENCH_AV_M_CONTROL,ROUTING_DETERMINISM_REPOSITIONING,BENCH_AV_M,NO_REPOSITION_CONTROL,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,ARC_LEVEL_ROUTING_MODE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/controls/DET_BENCH_AV_M_CONTROL,Superseded before a valid full-day result by efficiency-first R0.5c.,,
DET_Q25_M_P70_REPOS,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q25_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/treatments/DET_Q25_M_P70_REPOS,Superseded before a valid full-day result by efficiency-first R0.5c.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_Q50_M_P70_REPOS,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q50_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/treatments/DET_Q50_M_P70_REPOS,Superseded before a valid full-day result by efficiency-first R0.5c.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_Q75_M_P70_REPOS,ROUTING_DETERMINISM_REPOSITIONING,MAIN_Q75_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/treatments/DET_Q75_M_P70_REPOS,Superseded before a valid full-day result by efficiency-first R0.5c.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_BENCH_AV_M_REPOS,ROUTING_DETERMINISM_REPOSITIONING,BENCH_AV_M,TRAIN_TOD_DEMAND_BALANCE,Does frozen Train-only AV rebalancing change deterministic-routing outcomes?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,SUPERSEDED_BY_R0.5C,,stage4/output/paper_enhancement/repositioning_robustness_det/treatments/DET_BENCH_AV_M_REPOS,Superseded before a valid full-day result by efficiency-first R0.5c.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_Q50_CONTROL_A,EFFICIENT_REPOSITIONING_R0.5C,MAIN_Q50_M_P70,DETERMINISTIC_CONTROL,Does Train-only AV rebalancing explain medium/high-q service deterioration?,SCALAR_ROUTE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,PLANNED,,stage4/output/paper_enhancement/efficient_repositioning/runs/DET_Q50_CONTROL_A,Frozen SCALAR_ROUTE; sequential CPU-only; Q25/all-AV/Gamma unauthorized.,,
DET_Q50_CONTROL_B,EFFICIENT_REPOSITIONING_R0.5C,MAIN_Q50_M_P70,DETERMINISTIC_CONTROL,Does Train-only AV rebalancing explain medium/high-q service deterioration?,SCALAR_ROUTE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,PLANNED,,stage4/output/paper_enhancement/efficient_repositioning/runs/DET_Q50_CONTROL_B,Frozen SCALAR_ROUTE; sequential CPU-only; Q25/all-AV/Gamma unauthorized.,,
DET_Q50_REPOS,EFFICIENT_REPOSITIONING_R0.5C,MAIN_Q50_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain medium/high-q service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,PLANNED,,stage4/output/paper_enhancement/efficient_repositioning/runs/DET_Q50_REPOS,Frozen SCALAR_ROUTE; sequential CPU-only; Q25/all-AV/Gamma unauthorized.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
DET_Q75_CONTROL,EFFICIENT_REPOSITIONING_R0.5C,MAIN_Q75_M_P70,DETERMINISTIC_CONTROL,Does Train-only AV rebalancing explain medium/high-q service deterioration?,SCALAR_ROUTE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,PLANNED,,stage4/output/paper_enhancement/efficient_repositioning/runs/DET_Q75_CONTROL,Frozen SCALAR_ROUTE; sequential CPU-only; Q25/all-AV/Gamma unauthorized.,,
DET_Q75_REPOS,EFFICIENT_REPOSITIONING_R0.5C,MAIN_Q75_M_P70,TRAIN_TOD_DEMAND_BALANCE,Does Train-only AV rebalancing explain medium/high-q service deterioration?,TRAIN_TOD_DEMAND_BALANCE,fleet|acceptance|Profile_M|Gamma|candidate_pruning|solver|horizon,20260827,PLANNED,,stage4/output/paper_enhancement/efficient_repositioning/runs/DET_Q75_REPOS,Frozen SCALAR_ROUTE; sequential CPU-only; Q25/all-AV/Gamma unauthorized.,stage4_repositioning_r1.1,stage1 Train 20161009-20161024|sha256=97f9931d9a0d114059699ea92b692df80bb1d54e065c757c075d723d7291ab07
